Tên khu vực,Tên Tỉnh-Thành phố,Dân số,Diện tích,Có biên giới với TQ,Có biên giới với Lào,Có biên giới với Campuchia,Có giáp với biển
Bắc Trung Bộ,Hà Tĩnh,1288866,5990.7,Không,Có,Không,Có
Bắc Trung Bộ,Nghệ An,3327791,16493.7,Không,Có,Không,Có
Bắc Trung Bộ,Quảng Bình,895430,8065.3,Không,Có,Không,Có
Bắc Trung Bộ,Quảng Trị,632375,4739.8,Không,Có,Không,Có
Bắc Trung Bộ,Thanh Hóa,3640128,11114.7,Không,Có,Không,Có
Bắc Trung Bộ,Thừa Thiên Huế,1128620,5048.2,Không,Có,Không,Có
Đông Bắc Bộ,Quảng Ninh,1320324,6177.7,Có,Không,Không,Có
Đồng bằng sông Cửu Long,Kiên Giang,1723067,6348.8,Không,Không,Có,Có
Duyên hải Nam Trung Bộ,Quảng Nam,1495812,10574.7,Không,Có,Không,Có
Tây Bắc Bộ,Điện Biên,598856,9541,Có,Có,Không,Không
Tây Nguyên,Kon Tum,540438,9674.2,Không,Có,Có,Không
